"Yazar", "Alıntı"
"Çin atasözü", "Bilge bir insanla masada yapılan tek bir konuşma, aylarca kitap okumaya değer."
"Mohandas Gandhi", "Yaptıklarımız ile yapabileceklerimiz arasındaki fark, dünyadaki sorunların çoğunu çözmeye yeter."
"", "Kıyıyı gözden kaybetme cesaretine sahip değilseniz, okyanusu asla geçemezsiniz."
"Vaclav Havel", "Bir şey için sadece başarılı olma şansı olduğu için değil, iyi olduğu için çalışın."
"Carl Jung", "Bilgi yalnızca doğrulara değil, yanlışlara da dayanır."
"Katherine Mansfield", "Asla pişman olmamayı ve asla geriye bakmamayı bir yaşam kuralı haline getirin. Pişmanlık korkunç bir enerji kaybıdır; üzerine bir şey inşa edemezsiniz; sadece içinde debelenmek içindir."
"Victoria Holt", "Asla pişman olma. Eğer iyiyse, harikadır. Eğer kötüyse, deneyimdir."
"Chuang Tzu", "Eylemler ve sözler uyum içinde olduğunda, tüm dünya dönüşür."
"Rahibe Teresa", "Nazik sözler kısa ve kolay söylenebilir ama yankıları gerçekten sonsuzdur."
"William Blake", "Yaşayan her şey kutsaldır, yaşam yaşamdan zevk alır."
"Dalai Lama", "En önemli şey zihinlerimizi dönüştürmektir, yeni bir düşünce tarzı, yeni bir bakış açısı için: yeni bir iç dünya geliştirmek için çabalamalıyız."
"Billie Armstrong", "Tutkumuz bizim gücümüzdür."
"Leonardo da Vinci", "Nehirlerde dokunduğunuz su, geçmiş olanın sonuncusu ve gelecek olanın ilkidir; şimdiki zaman da böyledir."
"Byron Pulsifer", "Bahar yeniden doğuşun ve yeni yaşamın gerçekleşme zamanıdır."
"Marcus Aurelius", "İnsanın başına, gücünün yettiğinden başka bir şey gelmez."
"Alfred Korzybski", "Hayatın içinden kolayca geçmenin iki yolu vardır: her şeye inanmak ya da her şeyden şüphe etmek; her iki yol da bizi düşünmekten kurtarır."
"Alfred Whitehead", "İlerleme sanatı, değişimin ortasında düzeni korumak ve düzenin ortasında değişimi korumaktır."
"Winston Churchill", "Elde ettiklerimizle yaşarız, ama verdiklerimizle bir hayat kurarız."
"Friedrich von Schiller", "Eğer kendinizi incelemek istiyorsanız, diğer insanların kalplerine bakın. Eğer diğer insanları incelemek istiyorsanız, kendi kalbinize bakın."
"Wayne Dyer", "Hayat için özdeyiş: Hayatta, insanlara size nasıl davranmalarını öğretirseniz öyle muamele görürsünüz."
"Charlotte Perkins Gilman", "Bir insanın ilk görevi, toplumla doğru işlevsel ilişkiyi üstlenmek, daha kısaca, gerçek işinizi bulmak ve onu yapmaktır."
"Lao Tzu", "Büyümenin anahtarı, bilincin daha yüksek boyutlarını farkındalığımıza dahil etmektir."
"Ralph Emerson", "Düşünce çiçektir; dil tomurcuk; eylem ise onun arkasındaki meyvedir."
"Daisaku Ikeda", "Gerçek mutluluk, koşullarımız ne kadar zor olursa olsun, yenilmeyen güçlü bir ruh oluşturmak demektir."
"Peter Drucker", "Hiç yapılmaması gereken bir şeyi verimli bir şekilde yapmak kadar faydasız bir şey yoktur."
"Leonardo da Vinci", "Yapmanın aciliyeti beni çok etkiledi. Bilmek yeterli değildir; uygulamalıyız. İstekli olmak yeterli değildir; yapmalıyız."
"William Shakespeare", "Bütün dünya bir sahnedir Ve bütün erkekler ve kadınlar sadece oyunculardır Çıkışları ve girişleri vardır; Her insan kendi zamanında birçok rol oynar."
"Nelson Mandela", "Kendi korkularımızdan kurtulduğumuzda, varlığımız otomatik olarak başkalarını da özgürleştirir."
"James Yorke", "En başarılı insanlar B planında iyi olanlardır."
"Aristotle", "Eleştiri, hiçbir şey söylemeyerek, hiçbir şey yapmayarak ve hiçbir şey olmayarak kolayca kaçınabileceğiniz bir şeydir."
"Richard Bach", "Düşündüğünüz kadar hızlı uçmak için, çoktan vardığınızı bilerek başlamalısınız."
"Hannah More", "Engeller, gözlerinizi hedeften ayırdığınızda gördüğünüz şeylerdir."
"Michelangelo", "Çoğumuz için en büyük tehlike, hedefimizin çok yüksek olması ve onu kaçırmamız değil, çok alçak olması ve ona ulaşmamızdır."
"Albert Einstein", "Büyük fikirler genellikle vasat zihinlerden şiddetli muhalefet görür."
"Tony Robbins", "Hayatımızı değiştirebiliriz. Tam olarak istediğimiz şeyi yapabilir, sahip olabilir ve olabiliriz."
"Zig Ziglar", "Dünyada yeteneğinizi kullanabilecek tek kişi sizsiniz."
"Jean Lacordaire", "Ne deha, ne şöhret, ne de aşk ruhun büyüklüğünü gösterir. Bunu sadece nezaket yapabilir."
"Carl Jung", "Hayatta anlamı olan en küçük şey, anlamı olmayan en büyük şeyden daha değerlidir."
"Isocrates", "En asil ibadet, kendini olabildiğince iyi ve adil kılmaktır."
"Carl Bard", "Hiç kimse geriye dönüp yepyeni bir başlangıç yapamasa da, herkes sıfırdan başlayıp yepyeni bir son yapabilir."
"Denis Waitley", "Bir rüya, gelecekteki yaşamınız için yaratıcı vizyonunuzdur. Mevcut konfor alanınızdan çıkmalı ve alışılmadık ve bilinmeyene karşı rahat olmalısınız."
"Robert Orben", "Bunu başarısızlık olarak düşünmeyin. Bunu zamana yayılmış bir başarı olarak düşünün."
"Aristoteles", "Tekrar tekrar yaptığımız şeyiz. O halde mükemmellik bir eylem değil, bir alışkanlıktır."
"Abraham Lincoln", "Yavaş yürürüm, ama asla geriye doğru yürümem."
"Rene Descartes", "Her zorluğu, onu çözmek için mümkün ve gerekli olduğu kadar çok parçaya bölün."
"", "Bir yardım eli bulmak için en iyi yer kendi kolunuzun ucudur."
"Blaise Pascal", "Gerçeği sadece aklımızla değil, kalbimizle de biliriz."
"Kahlil Gibran", "Sevinçlerimizi ve üzüntülerimizi, onları yaşamadan çok önce seçeriz."
"Oscar Wilde", "Herkes tarih yazabilir. Sadece büyük bir adam onu yazabilir."
"Hermann Hesse", "Eğer aşkın ne olduğunu biliyorsam, bu senin sayende."
"Richard Bach", "Dünyanın seçtiği gibi yaşamasına izin verin ve kendinizin seçtiğiniz gibi yaşamasına izin verin."
"Barack Obama", "Hayatınızı sadece para kazanmaya odaklamak hırs fakirliğini gösterir. Kendinizden çok az şey ister. Ve sizi tatminsiz bırakacaktır."
"Dalai Lama", "Merhamet ve mutluluk bir zayıflık değil, bir güç göstergesidir."
"Franklin D. Roosevelt", "Bir yöntemi alıp denemek sağduyu gereğidir. Eğer başarısız olursa, bunu dürüstçe kabul edin ve başka bir yöntem deneyin. Ama her şeyden önce, bir şeyler deneyin."
"David Bader", "Şimdi burada ol. Sonra başka bir yerde ol. Bu çok mu karmaşık?"
"Mahummad Ali", "Zenginliklere sahip olmak istiyorsanız, onlardan vazgeçebilmek zorunludur. Gerçekten zengin olmanın tek yolu budur."
"Konfüçyüs", "Düşünmeden öğrenmek bir kayıptır, öğrenmeden düşünmek ise tehlikelidir."
"", "Başarısızlıktan yeni şeyler denemeyi reddedecek kadar korkmayın. Hayatın en üzücü özeti üç açıklama içerir: olabilirdi, olabilirdi ve olmalıydı."
"Bruce Lee", "Tüm sabit kalıplar uyarlanabilirlik ya da esneklikten yoksundur. Gerçek, tüm sabit kalıpların dışındadır."
"Oprah Winfrey", "Ben başarısızlığa inanmam. Eğer süreçten keyif alıyorsanız bu başarısızlık değildir."
"Helen Keller", "Dünyadaki en iyi ve en güzel şeyler ne görülebilir ne de dokunulabilir... ancak kalpte hissedilir."
"David Rockefeller", "İş hayatında başarı eğitim, disiplin ve sıkı çalışma gerektirir. Ancak bunlardan korkmuyorsanız, fırsatlar bugün de her zaman olduğu kadar büyüktür."
"Cavour", "İnsanlara güvenen adam, onlara güvenmeyen adamdan daha az hata yapacaktır."
"Bruce Lee", "Ne kadar az çaba harcarsanız, o kadar hızlı ve güçlü olursunuz."
"Ralph Emerson", "Bir insana karşı, iyi bir ışıktan yararlanmasını istediğimiz bir resme karşı olduğumuz kadar nazik olmalıyız."
"Anais Nin", "Hayallerim hep önümde koşuyordu. Ona yetişmek, bir an için onunla uyum içinde yaşamak, işte mucize buydu."
"Ellen Parr", "Can sıkıntısının ilacı meraktır. Merak için bir tedavi yoktur."
"Rahibe Teresa", "Büyük şeyler yapamayız, sadece büyük bir sevgiyle küçük şeyler yapabiliriz."
"Kahlil Gibran", "Çiçek gibi ol, yüzünü güneşe dön."
"Buddha", "Bir yanlışı hatırlamak, zihinde bir yük taşımak gibidir."
"James Openheim", "Aptal adam mutluluğu uzaklarda arar; bilge ise onu ayaklarının altında büyütür."
"Henry Beecher", "Minnettarlık ruhtan fışkıran en güzel çiçektir."
"Konfüçyüs", "Eğer kendi kalbinize bakarsanız ve orada yanlış bir şey bulamazsanız, endişelenecek ne var? Korkacak ne var?"
"John Acosta", "İstemediğin şeye sahip olamazsın."
"Ralph Waldo Emerson", "Yolun götürdüğü yere gitmeyin. Bunun yerine, yolun olmadığı yere gidin ve bir iz bırakın."
"Eleanor Roosevelt", "Kendinizin yapmak istemediğiniz bir şeyi başkalarından istemek adil değildir."
"Carl Jung", "Kendi karanlığınızı bilmek, diğer insanların karanlıklarıyla başa çıkmak için en iyi yöntemdir."
"Moncure Conway", "Her asil rüyadaki en iyi şey hayalperesttir..."
"Walt Disney", "Bir hayali gerçekleştirmek istiyorsak bir hayalimiz olmalı."
"Norman Peale", "Eğer bir şeylerin farklı olmasını istiyorsanız, belki de cevap kendinizin farklı olmasıdır."
"Büyük İskender", "Deneyen için imkansız diye bir şey yoktur."
"Theodore Rubin", "Nezaket bilgelikten daha önemlidir ve bunun farkına varmak bilgeliğin başlangıcıdır."
"Harriet Tubman", "Her büyük rüya bir hayalperestle başlar. Her zaman hatırlayın, dünyayı değiştirmek için yıldızlara ulaşacak güce, sabra ve tutkuya içinizde sahipsiniz."
"Buddha", "Hayattaki tek gerçek başarısızlık, kişinin bildiği en iyi şeye sadık kalmamasıdır."
"Albert Einstein", "Küçük konularda gerçeği ciddiye almayanlara büyük konularda da güvenilemez."
"Barack Obama", "Başka birini ya da başka bir zamanı beklersek değişim gelmeyecektir. Beklediğimiz biziz. Aradığımız değişim biziz."
"George Santayan", "Tarihten ders almayanlar onu tekrar etmeye mahkumdur."
"Carlos Castaneda", "İşin püf noktası, kişinin neyi vurguladığıdır. Ya kendimizi mutsuz ederiz ya da mutlu ederiz. İşin miktarı aynıdır."
"Seneca", "Katlanılması zor olan şeyleri hatırlamak tatlıdır."
"Henry James", "İnsan hayatında üç şey önemlidir. Birincisi nazik olmak. İkincisi nazik olmak. Üçüncüsü nazik olmaktır."
"Buddha", "Ne kadar kutsal söz okursan oku, Ne kadar çok konuşursan konuş, Eğer onlara göre hareket etmezsen sana ne faydası olacak?"
"Virgil", "Yapabileceklerine inananlar fethedebilirler."
"Frank Tyger", "Dinlemeyi öğrenin. Fırsat kapınızı usulca çalıyor olabilir."
"Sai Baba", "Tüm eylemler düşünceden kaynaklanır, bu yüzden önemli olan düşüncelerdir."
"Albert Einstein", "Hayatınızı yaşamanın sadece iki yolu vardır. Biri hiçbir şey mucize değilmiş gibi. Diğeri ise her şey bir mucizeymiş gibi."
"Colette", "Geçmişimi seviyorum. Bugünümü seviyorum. Sahip olduklarımdan utanmıyorum ve artık onlara sahip olmadığım için üzülmüyorum."
"Maya Angelou", "Önyargı geçmişi karıştıran, geleceği tehdit eden ve bugünü erişilmez kılan bir yüktür."
"William Hazlitt", "Başkalarında gördüğümüz kadar kendimizde de vardır."
"Geoffrey F. Abert", "Refah, istediğinize sahip olmaktan çok sahip olduğunuz şeyi istemenize bağlıdır."
"Coco Chanel", "İnsan bir şey olmaya değil, biri olmaya karar verdiğinde ne kadar çok değer kaybeder."
"Lao Tzu", "Bilen konuşmaz. Konuşan, bilmez."
"Rüzgarı yönlendiremeyiz ama yelkenleri ayarlayabiliriz."
"Albert Einstein", "Dünyanın ebedi gizeminin onun anlaşılabilirliği olduğu söylenebilir."
"John Dewey", "Benlik hazır bir şey değil, eylem seçimi yoluyla sürekli oluşum halinde olan bir şeydir."
"Mahatma Gandhi", "Büyüklüğümüz dünyayı yeniden yaratmaktan çok kendimizi yeniden yaratabilmekte yatar."
"Philip Breedveld", "Tamamen kayıtsız kalınan anlar yeni yaratımlar için en iyi anlardır."
"John Powell", "Tek gerçek hata, kendisinden hiçbir şey öğrenmediğimiz hatadır."
"Tim Menchen", "Olmak istediğin kişiyi hayal etmek, olduğun kişiyi harcamaktır."
"Charles Dubois", "Önemli olan şudur: Olabileceğimiz şey için her an olduğumuz şeyi feda edebilmek."
"Cicero", "Minnettarlık yalnızca erdemlerin en büyüğü değil, aynı zamanda diğerlerinin de ebeveynidir."
"Lama Yeshe", "Asla çok geç değildir. Yarın ölecek olsanız bile, kendinizi düz ve temiz tutun ve bugün mutlu bir insan olun."
"Byron Pulsifer", "Saygı isteyebileceğiniz, satın alabileceğiniz ya da ödünç alabileceğiniz bir şey değildir. Saygı, geçmişi ya da statüsü ne olursa olsun her insandan kazandığınız bir şeydir."
"Henry Thoreau", "Olaylar değişmez; biz değişiriz."
"Blaise Pascal", "Sınırlarımızı öğrenmeliyiz. Hepimiz bir şeyiz, ama hiçbirimiz her şey değiliz."
"Stephen Sigmund", "Bir fidanın yollarından bilgeliği öğrenin. Stresli durumlardan geçerek sertleşmeyen bir fide asla güçlü ve verimli bir bitki haline gelemez."
"Charles R. Swindoll", "Hepimiz imkansız durumlar olarak zekice gizlenmiş bir dizi büyük fırsatla karşı karşıyayız."
"Albert Camus", "Bütün insanların hayatında bir tatlılık vardır. Devam etmelerine yardımcı olan şey budur. Kendilerini çok bitkin hissettiklerinde dönüp baktıkları yer orasıdır."
"Frank Tyger", "İyi bir dinleyici olun. Kulaklarınız asla başınızı belaya sokmaz."
"Buddha", "Meditasyon bilgelik getirir; meditasyon eksikliği cehalet bırakır. Sizi neyin ileriye götürdüğünü ve neyin geride tuttuğunu iyi bilin ve bilgeliğe götüren yolu seçin."
"Anatole France", "Konuşmayı konuşarak, çalışmayı çalışarak, koşmayı koşarak, çalışmayı çalışarak öğrenirsiniz; aynı şekilde sevmeyi de severek öğrenirsiniz."
"John Marshall", "İyi dinlemek, iyi konuşmak kadar güçlü bir iletişim ve etkileme aracıdır."
"George Sand", "Hayatta tek bir mutluluk vardır, sevmek ve sevilmek."
"Matt Zotti", "Hissederek yaşarsanız, sevgiyle yaşarsınız. Çünkü hissetmek ruhun dilidir ve hissetmek gerçektir."
"Lao Tzu", "Sözlerdeki nezaket güven yaratır. Düşüncedeki nezaket derinlik yaratır. Vermedeki nezaket sevgiyi yaratır."
"Thomas Jefferson", "Akıl ve özgür sorgulama, hataya karşı tek etkili araçlardır."
"Napoleon Bonaparte", "Beden için en iyi tedavi sakin bir zihindir."
"Dalai Lama", "Olumlu tarafı, potansiyeli görün ve çaba gösterin."
"Jane Roberts", "Kendinizi kabul ederek ve tam olarak olduğunuz gibi davranarak, varlığınız başkalarını mutlu edebilir."
"Norman Cousins", "Bir teşhisi asla inkar etmeyin, ancak onunla birlikte gelebilecek olumsuz kararı inkar edin."
"Johann Wolfgang von Goethe", "Gerçekten mutsuz olan kişi, yapabileceklerini yarım bırakan ve anlamadığı şeyleri yapmaya başlayan kişidir; kederlenmelerine şaşmamalı."
"Wayne Dyer", "Eğer yalnız olduğunuz kişiyi seviyorsanız yalnız olamazsınız."
"G. K. Chesterton", "Ne yaparlarsa yapsınlar insanın başına gelen bir kadere inanmıyorum; ama ne yapmazlarsa yapsınlar insanın başına gelen bir kadere inanıyorum."
"Buddha", "Eğer konuşmayı düşünüyorsanız, her zaman kendinize sorun, doğru mu, gerekli mi, nazik mi?"
"Cadet Maxim", "Başkalarının güvenli olduğunu düşündüğünden daha fazla risk al. Başkalarının akıllıca olduğunu düşündüğünden daha fazla önemseyin. Başkalarının pratik olduğunu düşündüğünden daha fazlasını hayal edin. Başkalarının mümkün olduğunu düşündüğünden daha fazlasını bekleyin."
"Og Mandino", "Başarma azmim yeterince güçlüyse başarısızlık beni asla ele geçiremez."
"Ralph Marston", "Haklı olmaya olan bağlılığınızı bırakın ve birdenbire zihniniz daha açık hale gelsin. Kendi yargılarınızla sakatlanmadan başkalarının eşsiz bakış açılarından faydalanabilirsiniz."
"Mark Twain", "Kırışıklıklar sadece gülümsemelerin nerede olduğunu göstermelidir."
"Zig Ziglar", "Yüksekliğinizi yeteneğiniz değil, tutumunuz belirleyecektir."
"Rumi", "Gerçekten sevdiğiniz şeyin güçlü çekimi tarafından sessizce çekilmenize izin verin."
"Richard Bach", "Şu anda olduğum kişi olmak için hayatımı verdim. Buna değdi mi?"
"Hausa", "Az şey için şükredin, çok şey bulacaksınız."
"Arie de Gues", "Rakiplerinizden daha hızlı öğrenme yeteneğiniz, sürdürülebilir tek rekabet avantajınızdır."
"Paul Boese", "Affetmek geçmişi değiştirmez ama geleceği büyütür."
"Nikola Tesla", "Bırakın gelecek doğruyu söylesin ve herkesi yaptığı işe ve başarılarına göre değerlendirin. Şimdiki zaman onlarındır; uğruna gerçekten çalıştığım gelecek ise benimdir."
"Aristoteles", "Ahlaki mükemmellik alışkanlığın bir sonucu olarak ortaya çıkar. Adil davranışlarda bulunarak adil, ılımlı davranışlarda bulunarak ılımlı, cesur davranışlarda bulunarak cesur oluruz."
"William James", "İnsan doğasının en derin arzusu takdir edilme ihtiyacıdır."
"Antoine de Saint-Exupery", "Aşk birbirine bakmaktan değil, birlikte aynı yöne bakmaktan ibarettir."
"Edwin Markham", "Altın Kuralı hafızamıza kaydettik; şimdi de onu hayata geçirelim."
"Robert Southey", "Kelimeler güneş ışınları gibidir. Ne kadar yoğunlaştırılırlarsa, o kadar derin yanarlar."
"Tony Robbins", "İnsanlar birbirlerine benzediklerinde, birbirlerini sevme eğilimindedirler."
"Konfüçyüs", "Samimiyet cennetin yoludur. Samimiyete ulaşmak insanların yoludur."
"Mohandas Gandhi", "Dünyada görmek istediğiniz değişim siz olun."
"Jim Rohn", "Ne kadar önemserseniz, o kadar güçlü olabilirsiniz."
"Oprah Winfrey", "Pek çok insan sizinle limuzine binmek ister, ama sizin istediğiniz limuzin bozulduğunda sizinle otobüse binecek birisidir."
"Goethe", "Sadece kendine güven, o zaman nasıl yaşayacağını bilirsin."
"Pema Chodron", "Tamamen canlı, tamamen insan ve tamamen uyanık olmak, sürekli olarak yuvadan dışarı atılmaktır."
"Jim Rohn", "Kendi yaşam planınızı tasarlamazsanız, büyük olasılıkla başka birinin planına düşersiniz. Ve tahmin edin onlar sizin için ne planlıyor? Pek bir şey değil."
"Carl Jung", "Her şey olaylara nasıl baktığımıza bağlıdır, kendi içlerinde nasıl olduklarına değil."
"", "Vazgeçmek her zaman zayıf olduğunuz anlamına gelmez; bazen vazgeçecek kadar güçlü olduğunuz anlamına gelir."
"William Shakespeare", "Dik tepelere tırmanmak için başlangıçta yavaş bir tempo gerekir."
"Buddha", "Geliştirilen ve eyleme geçirilen bir fikir, sadece bir fikir olarak var olan bir fikirden daha önemlidir."
"Max Planck", "Arayanı zenginleştiren ve ona mutluluk getiren, gerçeğe sahip olmak değil, gerçeğin peşinde koşarken elde edilen başarıdır."
"Abraham Lincoln", "Gerçek genellikle iftiraya karşı en iyi savunmadır."
"Anna Pavlova", "Durmaksızın tek bir amacı takip etmek: Başarının sırrı budur."
"Nelson Mandela", "Kendi ışığımızın parlamasına izin verdiğimizde, farkında olmadan diğer insanlara da aynısını yapma izni vermiş oluruz."
"Ralph Emerson", "Yabani ot nedir? Erdemleri henüz keşfedilmemiş bir bitkidir."
"Ralph Emerson", "İnanç, ruhun onaylamalarını kabul etmekten ibarettir; İnançsızlık, onları inkar etmekten."
"", "Birçok insan yapabileceğini düşündüğünden daha ileri gitmiştir çünkü bir başkası onların yapabileceğini düşünmüştür."
"Rabindranath Tagore", "Dünyayı yanlış okuyoruz ve onun bizi aldattığını söylüyoruz."
"Edith Wharton", "Eğer evliler mutlu olmaya çalışmayı bırakırlarsa, oldukça iyi vakit geçirirler."
"Eleanor Roosevelt", "Yapamayacağınızı düşündüğünüz şeyleri yapmalısınız."
"Oscar Wilde", "Kendin ol; diğer herkes çoktan kapıldı."
"Richard Bach", "Cehaletinizin işareti, adaletsizliğe ve trajediye olan inancınızın derinliğidir. Tırtılın dünyanın sonu dediği şeye, Üstat kelebek der."
"Edna Millay", "İyi tavsiyelere bu kadar az kulak verdiğim için memnunum; onlara uysaydım, en değerli hatalarımdan bazılarından kurtulabilirdim."
"Abraham Lincoln", "Çoğu insan aklına koyduğu kadar mutludur."
"Oliver Holmes", "Sevgi, mutluluğun kapılarını açan ana anahtardır."
"Cecil B. DeMille", "Hayatta başarılı olan kişi, hedefini istikrarlı bir şekilde gören ve onu şaşmaz bir şekilde hedefleyen kişidir. Bu adanmışlıktır."
"George Shaw", "Her başarısızlığımda itibarım artıyor."
"Ralph Emerson", "İyi düşünceler, uygulanmadıkları sürece iyi hayallerden daha iyi değildir."
"Dalai Lama", "Mutluluk sadece dış koşullar nedeniyle ortaya çıkmaz; esas olarak içsel tutumlardan kaynaklanır."
"Buddha", "Ne kadar kutsal söz okursanız okuyun, ne kadar konuşursanız konuşun, eğer onlara göre hareket etmezseniz size ne faydası olur?"
"Harry Banks", "Başarı için tutum, yetenek kadar önemlidir."
"Colin Powell", "Büyük şeylerde mükemmelliğe ulaşacaksanız, küçük konularda alışkanlık geliştirmelisiniz. Mükemmellik bir istisna değil, hakim bir tutumdur."
"Albert Einstein", "Hiç hata yapmamış bir kişi asla yeni bir şey denememiştir."
"Buddha", "Binlerce boş sözden daha iyisi, huzur getiren tek bir sözdür."
"George Bernard Shaw", "Tepki vermek yerine harekete geçmeye karar verdiğimizde olasılıklar sayısızdır."
"Henri Amiel", "Neredeyse her şey yoktan var olur."
"Donald Trump", "Bazen bir muharebeyi kaybederek savaşı kazanmanın yeni bir yolunu bulursunuz."
"Richard Bach", "Korktuğunuz şey yerine bildiğiniz şeyi dinleyin."
"Betty Friedan", "Başkası aracılığıyla yaşamak, kendini tamamlamaktan daha kolaydır."
"John Simone", "Eğer kötü bir durumdaysanız, değişeceğinden endişelenmeyin. İyi bir durumdaysanız, değişeceğinden endişelenmeyin."
"Zig Ziglar", "Başarısızlığın bir olay olduğunu unutmayın, bir kişi değil."
"Oprah Winfrey", "Kendiniz olmanıza izin vermeyen bir ilişkiye razı olmayın."
"Richard Bach", "Tırtılın dünyanın sonu dediği şeye, usta kelebek der."
"Thomas Carlyle", "İnsanın şartların yaratığı olduğunu söylemek yerine, insanın şartların mimarı olduğunu söylemek daha doğru olur."
"Tony Robbins", "Her zaman yaptığınız şeyi yaparsanız, her zaman elde ettiğiniz şeyi elde edersiniz."
"Rahibe Teresa", "Liderleri beklemeyin; bunu tek başınıza, kişiden kişiye yapın."
"Plotinus", "Bilginin üç derecesi vardır, fikir, bilim, aydınlanma. İlkinin aracı ya da enstrümanı duyudur; ikincisinin diyalektik; üçüncüsünün ise sezgidir."
"Mary Parrish", "Aşk zamanı yok eder. Aşıklar için bir an sonsuzluk olabilir, sonsuzluk bir saatin tik takları olabilir."
"Voltaire", "Asla yaşamayız; her zaman yaşama beklentisi içindeyizdir."
"Henri L. Bergson", "Bir eylem adamı gibi düşün; bir düşünce adamı gibi hareket et."
"Ziggy", "Güllerin dikenleri olduğu için şikayet edebilirsin ya da dikenlerin gülleri olduğu için sevinebilirsin."
"Anais Nin", "Herkes için büyük bir kozmik anlam yoktur, sadece her birimizin hayatımıza verdiği anlam vardır."
"Lao Tzu", "Bir liderin en iyi olduğu an, insanların onun varlığından bile haberdar olmadığı andır; işi bittiğinde, amacı gerçekleştiğinde, "bunu biz yaptık" diyeceklerdir."
"John Lennon", "Boşa harcamaktan zevk aldığınız zaman boşa harcanmamıştır."
"Albert Camus", "Mutluluğun ne olduğunu aramaya devam ederseniz asla mutlu olamazsınız. Hayatın anlamını aramaya devam ederseniz asla yaşayamazsınız."
"Daisaku Ikeda", "Gerçek samimiyet insanların kalplerini açar, manipülasyon ise kalplerin kapanmasına neden olur."
"Konfüçyüs", "İnsanların yapması gereken görevlere kendini ciddiyetle vermek ve ruhani varlıklara saygı duymakla birlikte onlardan uzak durmak bilgelik olarak adlandırılabilir."
"Zadok Rabinowitz", "Bir adamın rüyaları onun büyüklüğünün bir göstergesidir."
"William Lyon Phelps", "Bir beyefendinin son sınavı budur: Kendisi için hiçbir değeri olmayanlara saygı duyması."
"Richard Bach", "Öğrenmeye en çok ihtiyaç duyduğunuz şeyi en iyi siz öğretirsiniz."
"Winston Churchill", "Potansiyelimizi açığa çıkarmanın anahtarı güç ya da zeka değil, sürekli çabadır."
"Henry Ford", "Engeller, gözlerinizi hedefinizden ayırdığınızda gördüğünüz o korkunç şeylerdir."
"Wayne Dyer", "Hemen şimdi. Gelecek kimseye vaat edilmemiştir."
"John Holmes", "Genç bir insana asla bir şeyin yapılamayacağını söylemeyin. Tanrı belki de yüzyıllardır imkânsıza karşı yeterince cahil birinin o şeyi yapmasını bekliyordur."
"Byron Pulsifer", "Cesur olmak aptallık değil, geriye değil ileriye gitmek için başkaları harekete geçmediğinde harekete geçme niteliği ve içsel gücüdür."
"Daisaku Ikeda", "Dünyaya yaşam sevgisiyle bakarsak, dünya bize güzelliğini gösterecektir."
"Ralph Emerson", "İnce buz üzerinde kayarken güvenliğimiz hızımızdadır."
"W. Clement Stone", "Görevinizi keşfettiğinizde, onun talebini hissedeceksiniz. Bu sizi şevkle ve üzerinde çalışmak için yakıcı bir arzuyla dolduracaktır."
"Publilius Syrus", "Asla yapabileceğinizden fazlasını vaat etmeyin."
"Nora Roberts", "Eğer istediğiniz şeyin peşinden gitmezseniz, ona asla sahip olamazsınız. Eğer sormazsanız, cevap her zaman hayırdır. İleriye doğru adım atmazsanız, hep aynı yerde kalırsınız."
"Lou Holtz", "Tanrı'nın bizi bu dünyaya sıradan olmamız için gönderdiğine inanamıyorum."
"Napoleon Hill", "Zihnimiz için kabul ettiklerimiz dışında hiçbir sınırlama yoktur."
"Jules Poincare", "Bilim yoluyla kanıtlarız, ama sezgi yoluyla keşfederiz."
"Richard Bach", "Vedalar sizi korkutmasın. Tekrar buluşmadan önce bir veda gereklidir. Ve anlar ya da ömürler sonra yeniden buluşmak, dost olanlar için kesindir."
"Carla Gordon", "Eğer hayatınızdaki biri sizinle kendinizle konuştuğunuz gibi konuşsaydı, onu uzun zaman önce terk ederdiniz."
"Edward Ericson", "Evren ne ahlaklı ne de ahlaksızdır; sadece insanlar öyledir. Dünyayı hareket ettirmek isteyen kişi önce kendini hareket ettirmelidir."
"Daisaku Ikeda", "Bugün kaybedersen, yarın kazanırsın. Bu hiç bitmeyen meydan okuma ruhu bir zaferin kalbidir."
"Linda Hogan", "Doğanın konuştuğu, toprağın konuştuğu bir yol vardır. Çoğu zaman bu hikayeye kulak verecek kadar sabırlı ve sessiz değilizdir."
"Georg Lichtenberg", "Değişirsek her şeyin daha iyiye gidip gitmeyeceğini söyleyemem; söyleyebileceğim şey, eğer daha iyiye gideceklerse değişmek zorunda olduklarıdır."
"Eckhart Tolle", "İnsan acısının büyük bir kısmı gereksizdir. Gözlemlenmemiş zihin hayatınızı yönettiği sürece kendi kendini yaratır."
"Alexander Pope", "Ne mutlu hiçbir şey beklemeyen adama, çünkü asla hayal kırıklığına uğramayacaktır."
"Lao Tzu", "Başkalarını tanıyan bilgedir. Kendini tanıyan kişi aydınlanmıştır."
"Peter Drucker", "Geleceğinizi tahmin etmenin en iyi yolu onu yaratmaktır."
"May Sarton", "Bir bahçe her zaman hayatın kendisi gibi birkaç zafere karşı bir dizi kayıptır."
"Rachel Carson", "Eğer gerçekler daha sonra bilgi ve bilgeliği üreten tohumlarsa, o zaman duygular ve duyuların izlenimleri tohumların içinde büyümesi gereken verimli topraklardır."
"Ernest Hemingway", "Hareketi asla eylemle karıştırmayın."
